FYE,Assumption,6% Constant,Recession,Recurring Recession
2019,0.379,0.379,0.379,0.379
2020,0.402157226,0.402157226,0.402157226,0.402157226
2021,0.39694061,0.39694061,0.39694061,0.39694061
2022,0.388410573,0.388410573,0.388410573,0.388410573
2023,0.384509047,0.384509047,0.414509047,0.414509047
2024,0.364486347,0.397374645,0.392707623,0.425612336
2025,0.332488071,0.41719438,0.364503559,0.449255004
2026,0.314402982,0.434104299,0.349128533,0.468918185
2027,0.289661907,0.432689985,0.327121013,0.47021208
2028,0.278657723,0.433446719,0.318637231,0.473398953
2029,0.271156862,0.406868322,0.31280537,0.448500173
2030,0.19864357,0.337963337,0.242879643,0.38223429
2031,0.194164696,0.326087682,0.240165058,0.372157888
2032,0.188932432,0.314519661,0.236864357,0.362551301
2033,0.18771139,0.306815778,0.237279338,0.356514491
2034,0.186394055,0.304427449,0.23692298,0.355097877
2035,0.184834616,0.302131944,0.237136462,0.354575269
2036,0.183109172,0.301562711,0.236621417,0.355162002
2037,0.181221185,0.30117105,0.236064049,0.356034289
2038,0.179039899,0.298415445,0.235057412,0.354383929
2039,0.164339584,0.318915212,0.220703096,0.374995708
2040,0.12,0.29343046,0.160400681,0.349147549
2041,0.12,0.289840953,0.15,0.34643822
2042,0.12,0.305189768,0.15,0.362057801
2043,0.12,0.30477581,0.15,0.362130264
2044,0.12,0.306287956,0.15,0.365145704
2045,0.12,0.266064714,0.15,0.327272884
2046,0.12,0.257363061,0.15,0.319896767
2047,0.12,0.247011706,0.15,0.311255577
2048,0.12,0.241883018,0.15,0.30774463
2049,0.12,0.23614845,0.15,0.303207557
2050,0.12,0.226288963,0.15,0.294876765
2051,0.12,0.221443296,0.15,0.29157445
2052,0.12,0.217648673,0.15,0.288042705
