FYE,Assumption,6% Constant,Recession,Recurring Recession
2019,0.628991338,0.540038863,0.540038863,0.540038863
2020,0.579985333,0.505028606,0.505028606,0.505028606
2021,0.727799777,0.727799777,0.727799777,0.727799777
2022,0.748081689,0.520884949,0.748094275,0.520900775
2023,0.766738586,0.545805697,0.766782327,0.545822314
2024,0.785361895,0.575495321,0.785459329,0.575501486
2025,0.79991993,0.61018188,0.800104389,0.610193383
2026,0.814251996,0.62148404,0.814531888,0.621489986
2027,0.826099706,0.634234123,0.826482384,0.63421944
2028,0.838303533,0.648805405,0.83879923,0.648745232
2029,0.851257866,0.661005198,0.851866468,0.660867008
2030,0.856943095,0.66646605,0.857632873,0.666199141
2031,0.863115723,0.671656835,0.863889701,0.671240052
2032,0.869691196,0.676402501,0.870550296,0.67581203
2033,0.877222542,0.681462928,0.878175501,0.680674255
2034,0.885752322,0.687379352,0.886798164,0.686365058
2035,0.895321137,0.694238305,0.896455945,0.692967335
2036,0.905974393,0.702349129,0.907189454,0.700786723
2037,0.917762105,0.501280419,0.919043233,0.49962468
2038,0.930726273,0.524843876,0.932062441,0.522072373
2039,0.94298619,0.555094393,0.944240734,0.55108981
2040,0.946798474,0.585466725,0.94764604,0.579703203
2041,0.949013772,0.590962475,0.94918296,0.583485955
2042,0.951755763,0.600409593,0.950553888,0.590981806
2043,0.953472856,0.611497888,0.949643955,0.599810955
2044,0.959361545,0.624707799,0.95171346,0.610703795
2045,0.963421119,0.632551298,0.950312061,0.614529632
2046,0.970696428,0.640322073,0.951372824,0.617826255
2047,0.97828086,0.646431175,0.952417601,0.620201159
2048,0.986414554,0.653037544,0.953784157,0.622644666
2049,0.994286993,0.660041392,0.954284129,0.624900386
2050,1.001178915,0.666567508,0.952672405,0.625994573
2051,1.006851603,0.67290152,0.948221962,0.62617346
2052,1.012928812,0.679913829,0.942485326,0.626326807
